Sample.ID,Date.Collected,Region,Population,MaterNAl_Family,Individual,GCLab,GCLad,SDab,SDad,SAIab,SAIad,BLOCK.POS,Family.Unique,Family.NonUnique,Block.ID
MAN-FOX.18.3,7/27/2016,GL Alvar,MAN-FOX,18,3,27.666667,26.333333,195.3125,273.4375,4.052734424,7.200520742,3-A10,MAN-FOX_18,18,3
WNY-CB.2.2,7/5/2016,GL Alvar,WNY-CB,2,2,27.666667,26.333333,195.3125,156.25,4.052734424,4.114583281,2-F10,WNY-CB_2,2,2
CAR-PSR.6.2,7/1/2016,GL Alvar,CAR-PSR,6,2,28,26.333333,403.6458333,247.3958333,8.476562499,6.514756861,2-A2,CAR-PSR_6,6,2
MAN-LCI.9.8,7/28/2016,GL Alvar,MAN-LCI,9,8,28,26.333333,247.3958333,130.2083333,5.195312499,3.4288194,8-A8,MAN-LCI_9,9,8
SD-PMG.15,7/10/2016,Prairie,SD-PMG,15,NA,28,26.333333,247.3958333,143.2291667,5.195312499,3.771701342,3-G12,SD-PMG_NA,NA,3
WNY-CB.2.9,7/5/2016,GL Alvar,WNY-CB,2,9,28,26.333333,299.4791667,117.1875,6.289062501,3.085937461,9-E13,WNY-CB_2,2,9
MB-CRN.29.2,7/6/2016,M Alvar,MB-CRN,29,2,28.333333,26.333333,208.3333333,156.25,4.427083281,4.114583281,2-B11,MB-CRN_29,29,2
MB-CRN.2.9,7/6/2016,M Alvar,MB-CRN,2,9,28.666667,26.333333,156.25,234.375,3.359375039,6.171874922,9-D15,MB-CRN_2,2,9
ND-BSP.29.7,6/28/2016,Prairie,ND-BSP,29,7,28.666667,26.333333,130.2083333,130.2083333,2.799479199,3.4288194,7-I14,ND-BSP_29,29,7
CAR-NBA.21.6,7/20/2016,GL Alvar,CAR-NBA,21,6,NA,26.333333,NA,182.2916667,NA,4.800347162,6-J5,CAR-NBA_21,21,6
MAN-FOX.29.6,7/27/2016,GL Alvar,MAN-FOX,29,6,NA,26.333333,NA,169.2708333,NA,4.45746522,6-D7,MAN-FOX_29,29,6
MAN-FOX.3.3,7/27/2016,GL Alvar,MAN-FOX,3,3,NA,26.333333,NA,143.2291667,NA,3.771701342,3-J15,MAN-FOX_3,3,3
SD-PMG.20,7/10/2016,Prairie,SD-PMG,20,NA,NA,26.333333,NA,169.2708333,NA,4.45746522,8-F7,SD-PMG_NA,NA,8
MB-MR.21.3,7/6/2016,M Alvar,MB-MR,21,3,23,26.666667,351.5625,234.375,6.064453125,6.250000078,3-L3,MB-MR_21,21,3
MB-CRN.2.5,7/6/2016,M Alvar,MB-CRN,2,5,23.333333,26.666667,338.5416667,234.375,5.924479083,6.250000078,5-A7,MB-CRN_2,2,5
CAR-NBA.4.6,7/21/2016,GL Alvar,CAR-NBA,4,6,24,26.666667,312.5,156.25,5.625,4.166666719,6-L3,CAR-NBA_4,4,6
NAP-CE.19.4,7/29/2016,GL Alvar,NAP-CE,19,4,24.666667,26.666667,390.625,195.3125,7.226562598,5.208333398,4-L16,NAP-CE_19,19,4
NAP-CE.24.5,7/29/2016,GL Alvar,NAP-CE,24,5,24.666667,26.666667,286.4583333,182.2916667,5.299479238,4.861111173,5-M13,NAP-CE_24,24,5
WNY-CB.16.7,7/30/2016,GL Alvar,WNY-CB,16,7,25,26.666667,312.5,156.25,5.859375,4.166666719,7-N6,WNY-CB_16,16,7
MN-PMG.17,7/10/2016,Prairie,MN-PMG,17,NA,25.333333,26.666667,221.3541667,182.2916667,4.205729112,4.861111173,5-J8,MN-PMG_NA,NA,5
MAN-MIS.20.4,7/28/2016,GL Alvar,MAN-MIS,20,4,26,26.666667,364.5833333,312.5,7.109374999,8.333333438,4-H3,MAN-MIS_20,20,4
ND-BSP.25.7,7/1/2016,Prairie,ND-BSP,25,7,26,26.666667,299.4791667,169.2708333,5.839843751,4.513888944,7-A11,ND-BSP_25,25,7
SD-PMG.3,7/10/2016,Prairie,SD-PMG,3,NA,26,26.666667,325.5208333,130.2083333,6.347656249,3.472222265,3-D8,SD-PMG_NA,NA,3
WNY-CB.2.1,7/5/2016,GL Alvar,WNY-CB,2,1,26,26.666667,247.3958333,221.3541667,4.824218749,5.902777852,1-D16,WNY-CB_2,2,1
MAN-MIS.32.4,7/28/2016,GL Alvar,MAN-MIS,32,4,26.333333,26.666667,377.6041667,221.3541667,7.457682198,5.902777852,4-B8,MAN-MIS_32,32,4
NAP-SCH.23.4,7/29/2016,GL Alvar,NAP-SCH,23,4,26.333333,26.666667,338.5416667,208.3333333,6.686197833,5.555555624,4-A2,NAP-SCH_23,23,4
MB-MR.38.9,7/6/2016,M Alvar,MB-MR,38,9,26.666667,26.666667,312.5,156.25,6.250000078,4.166666719,9-C2,MB-MR_38,38,9
MI-DRI.13.8,7/26/2016,GL Alvar,MI-DRI,13,8,26.666667,26.666667,338.5416667,182.2916667,6.770833419,4.861111173,8-B6,MI-DRI_13,13,8
CAR-NBA.3.9,7/21/2016,GL Alvar,CAR-NBA,3,9,27,26.666667,286.4583333,169.2708333,5.800781249,4.513888944,9-C3,CAR-NBA_3,3,9
MAN-KIP.16.7,7/27/2016,GL Alvar,MAN-KIP,16,7,27,26.666667,208.3333333,104.1666667,4.218749999,2.777777813,7-I4,MAN-KIP_16,16,7
CAR-PSR.12.2,7/22/2016,GL Alvar,CAR-PSR,12,2,27.333333,26.666667,286.4583333,156.25,5.872395761,4.166666719,2-G11,CAR-PSR_12,12,2
MAN-MIS.20.2,7/28/2016,GL Alvar,MAN-MIS,20,2,27.333333,26.666667,247.3958333,247.3958333,5.071614521,6.597222304,2-A10,MAN-MIS_20,20,2
MAN-LCI.15.6,7/20/2016,GL Alvar,MAN-LCI,15,6,27.666667,26.666667,247.3958333,143.2291667,5.133463603,3.819444493,6-B8,MAN-LCI_15,15,6
ND-BSP.22.3,7/30/2016,Prairie,ND-BSP,22,3,27.666667,26.666667,260.4166667,143.2291667,5.403645899,3.819444493,3-H13,ND-BSP_22,22,3
ND-BSP.29.10,6/28/2016,Prairie,ND-BSP,29,10,27.666667,26.666667,208.3333333,221.3541667,4.322916718,5.902777852,10-K3,ND-BSP_29,29,10
WNY-CB.2.12,7/5/2016,GL Alvar,WNY-CB,2,12,27.666667,26.666667,273.4375,130.2083333,5.673828193,3.472222265,12-E10,WNY-CB_2,2,12
CAR-PSR.6.11,7/1/2016,GL Alvar,CAR-PSR,6,11,28,26.666667,221.3541667,221.3541667,4.648437501,5.902777852,11-H14,CAR-PSR_6,6,11
MB-CRN.27.6,7/28/2016,M Alvar,MB-CRN,27,6,28,26.666667,208.3333333,234.375,4.374999999,6.250000078,6-I7,MB-CRN_27,27,6
MB-MR.2.6,7/29/2016,M Alvar,MB-MR,2,6,28,26.666667,286.4583333,234.375,6.015624999,6.250000078,6-M5,MB-MR_2,2,6
CAR-NBA.3.5,7/21/2016,GL Alvar,CAR-NBA,3,5,28.666667,26.666667,273.4375,208.3333333,5.878906318,5.555555624,5-M12,CAR-NBA_3,3,5
MAN-LCI.15.8,7/26/2016,GL Alvar,MAN-LCI,15,8,29,26.666667,234.375,143.2291667,5.09765625,3.819444493,8-C12,MAN-LCI_15,15,8
MAN-MIS.30.3,7/28/2016,GL Alvar,MAN-MIS,30,3,29,26.666667,208.3333333,169.2708333,4.531249999,4.513888944,3-J8,MAN-MIS_30,30,3
MI-DRI.5.4,6/28/2016,GL Alvar,MI-DRI,5,4,29.666667,26.666667,143.2291667,104.1666667,3.186848995,2.777777813,4-C6,MI-DRI_5,5,4
ND-BSP.25.11,7/1/2016,Prairie,ND-BSP,25,11,30,26.666667,182.2916667,208.3333333,4.101562501,5.555555624,11-M11,ND-BSP_25,25,11
MAN-MIS.27.7,7/28/2016,GL Alvar,MAN-MIS,27,7,30.666667,26.666667,260.4166667,130.2083333,5.989583399,3.472222265,7-L16,MAN-MIS_27,27,7
MAN-KIP.24.7,7/27/2016,GL Alvar,MAN-KIP,24,7,NA,26.666667,NA,130.2083333,NA,3.472222265,7-D6,MAN-KIP_24,24,7
